date,symbol,trades,wins,win_rate,total_pnl,avg_pnl,max_pnl,min_pnl,avg_hold_bars
2026-01-19,215A,9,2,0.2222222222222222,-39.0,-4.333333333333333,11.5,-13.0,12.222222222222221
2026-01-19,3350,2,2,1.0,20.5,10.25,10.5,10.0,1.5
2026-01-19,6526,2,1,0.5,3.5,1.75,8.5,-5.0,26.0
2026-01-19,9501,2,2,1.0,17.699999999999932,8.849999999999966,10.299999999999955,7.399999999999977,26.5
2026-01-20,215A,2,0,0.0,-15.0,-7.5,-5.0,-10.0,3.5
2026-01-20,3350,8,2,0.25,-0.5,-0.0625,11.0,-6.5,24.625
2026-01-20,6315,29,13,0.4482758620689655,19.0,0.6551724137931034,17.5,-25.0,3.0689655172413794
2026-01-20,6526,3,0,0.0,-22.5,-7.5,-6.75,-8.0,19.333333333333332
2026-01-20,9501,9,3,0.3333333333333333,-8.850000000000136,-0.9833333333333485,7.350000000000023,-5.5499999999999545,30.22222222222222
2026-01-20,9509,3,0,0.0,-17.25,-5.75,-5.0,-6.25,11.333333333333334
2026-01-21,215A,5,0,0.0,-39.5,-7.9,-5.5,-11.5,4.0
2026-01-21,3350,2,1,0.5,10.0,5.0,11.0,-1.0,19.0
2026-01-21,5016,5,3,0.6,28.25,5.65,27.75,-14.25,4.0
2026-01-21,6315,3,2,0.6666666666666666,11.0,3.6666666666666665,20.5,-22.0,1.0
2026-01-21,6526,5,3,0.6,20.25,4.05,12.5,-7.5,3.8
2026-01-21,9501,6,4,0.6666666666666666,15.950000000000045,2.6583333333333408,12.599999999999909,-5.699999999999932,34.0
2026-01-21,9509,2,0,0.0,-5.25,-2.625,-0.25,-5.0,23.5
2026-01-22,157A,4,2,0.5,3.5,0.875,11.0,-8.5,8.25
2026-01-22,168A,7,2,0.2857142857142857,-10.5,-1.5,20.5,-11.5,9.428571428571429
2026-01-22,198A,3,2,0.6666666666666666,-2.0,-0.6666666666666666,2.5,-5.5,55.0
2026-01-22,202A,7,4,0.5714285714285714,27.5,3.9285714285714284,15.0,-7.5,6.142857142857143
2026-01-22,215A,2,1,0.5,4.5,2.25,10.0,-5.5,17.0
2026-01-22,3350,6,3,0.5,4.0,0.6666666666666666,8.0,-5.0,39.166666666666664
2026-01-22,3436,2,2,1.0,24.0,12.0,14.0,10.0,17.5
2026-01-22,3692,9,3,0.3333333333333333,50.0,5.555555555555555,55.0,-25.0,1.5555555555555556
2026-01-22,3697,2,1,0.5,2.4500000000000455,1.2250000000000227,3.5499999999999545,-1.099999999999909,39.5
2026-01-22,4082,3,1,0.3333333333333333,27.0,9.0,37.0,-5.0,1.3333333333333333
2026-01-22,4098,14,8,0.5714285714285714,82.0,5.857142857142857,28.5,-10.5,6.071428571428571
2026-01-22,4107,8,2,0.25,-20.0,-2.5,10.0,-15.0,7.0
2026-01-22,4506,3,2,0.6666666666666666,11.0,3.6666666666666665,10.0,-5.25,40.666666666666664
2026-01-22,4507,3,1,0.3333333333333333,-6.0,-2.0,1.0,-5.0,47.666666666666664
2026-01-22,4593,4,1,0.25,1.0,0.25,10.0,-6.0,41.75
2026-01-22,5016,4,0,0.0,-76.25,-19.0625,-6.5,-52.25,4.5
2026-01-22,5216,4,3,0.75,22.0,5.5,18.0,0.0,41.75
2026-01-22,6166,4,1,0.25,-11.0,-2.75,11.5,-10.0,5.75
2026-01-22,6269,5,3,0.6,27.5,5.5,22.5,-12.5,3.6
2026-01-22,6273,3,0,0.0,-35.0,-11.666666666666666,-5.0,-20.0,1.6666666666666667
2026-01-22,6315,5,3,0.6,28.0,5.6,15.5,-9.5,4.0
2026-01-22,6323,7,3,0.42857142857142855,-11.0,-1.5714285714285714,9.5,-11.5,5.0
2026-01-22,6526,2,0,0.0,-24.75,-12.375,-8.0,-16.75,4.5
2026-01-22,6723,2,2,1.0,38.75,19.375,23.75,15.0,8.5
2026-01-22,6752,1,0,0.0,-2.0,-2.0,-2.0,-2.0,60.0
2026-01-22,6762,2,1,0.5,-4.5,-2.25,0.5,-5.0,16.5
2026-01-22,6954,5,1,0.2,-13.0,-2.6,12.5,-8.0,9.4
2026-01-22,6963,4,2,0.5,11.0,2.75,15.25,-8.0,9.5
2026-01-22,6993,4,1,0.25,-12.0,-3.0,1.0,-6.0,41.75
2026-01-22,7003,2,0,0.0,-64.5,-32.25,-9.0,-55.5,4.0
2026-01-22,7012,19,6,0.3157894736842105,-25.0,-1.3157894736842106,20.0,-15.0,2.8421052631578947
2026-01-22,7014,5,1,0.2,-15.0,-3.0,10.0,-10.0,19.4
2026-01-22,7182,2,0,0.0,-11.5,-5.75,-5.0,-6.5,11.5
2026-01-22,7280,7,1,0.14285714285714285,-47.5,-6.785714285714286,5.0,-11.5,6.571428571428571
2026-01-22,7711,9,4,0.4444444444444444,-5.0,-0.5555555555555556,10.0,-15.0,7.333333333333333
2026-01-22,7746,18,7,0.3888888888888889,-50.5,-2.8055555555555554,11.0,-36.5,7.833333333333333
2026-01-22,7771,3,2,0.6666666666666666,14.5,4.833333333333333,12.0,-7.5,32.666666666666664
2026-01-22,7911,2,0,0.0,-13.0,-6.5,-5.5,-7.5,4.0
2026-01-22,7974,7,1,0.14285714285714285,-46.0,-6.571428571428571,7.0,-22.0,9.714285714285714
2026-01-22,8058,2,1,0.5,4.0,2.0,10.0,-6.0,27.5
2026-01-22,8136,5,3,0.6,18.5,3.7,11.5,-7.5,11.2
2026-01-22,8267,5,0,0.0,-33.0,-6.6,-5.0,-10.0,19.2
2026-01-22,8306,4,2,0.5,-3.0,-0.75,5.0,-5.5,38.5
2026-01-22,8316,2,0,0.0,-6.0,-3.0,-1.0,-5.0,46.0
2026-01-22,9250,3,1,0.3333333333333333,-10.5,-3.5,11.5,-12.5,4.0
2026-01-22,9501,3,1,0.3333333333333333,-6.099999999999909,-2.033333333333303,1.1000000000001364,-5.2999999999999545,30.0
2026-01-22,9509,2,0,0.0,-6.75,-3.375,-1.25,-5.5,21.0
2026-01-23,157A,3,2,0.6666666666666666,46.5,15.5,41.5,-5.0,2.6666666666666665
2026-01-23,168A,8,4,0.5,-41.5,-5.1875,14.0,-40.5,13.0
